probe	gene
A_23_P100539	ABCC6
A_23_P100642	PNMT
A_23_P100704	MAPK7
A_23_P101374	CYP2S1
A_23_P10156	CHMP6
A_23_P101905	APC2
A_23_P102109	TUBA4A
A_23_P102202	MSH6
A_23_P102919	B3GALT5
A_23_P102988	TXNRD2
A_23_P103371	ADC
A_23_P104237	GPAM
A_23_P104318	DDIT4
A_23_P105184	CENTD2
A_23_P105409	MAP3K12
A_23_P105592	MVK
A_23_P105803	FGF9
A_23_P106024	JAG2
A_23_P106194	FOS
A_23_P106389	SEMA7A
A_23_P106505	LCMT2
A_23_P106675	PLCG2
A_23_P106933	ACSM1
A_23_P106945	ADCY7
A_23_P1072	ATP1A1
A_23_P107247	CACNA1G
A_23_P107587	NPC1
A_23_P107963	FUT1
A_23_P108437	FZD5
A_23_P10870	DOLK
A_23_P10873	TLR1
A_23_P109133	AVP
A_23_P109269	LAMA5
A_23_P109934	HEMK1
A_23_P110116	SH3BP2
A_23_P110606	MAML1
A_23_P110661	SKIV2L2
A_23_P111132	HSPA1A
A_23_P111701	GNG11
A_23_P112026	INDO
A_23_P112260	LOC552891
A_23_P112311	TRIM32
A_23_P11237	TAF1
A_23_P11309	PLXNA3
A_23_P113111	AR
A_23_P114626	SERPINC1
A_23_P114783	PARP1
A_23_P114903	HSPA6
A_23_P116114	PDE3B
A_23_P116286	AMPD3
A_23_P117602	GZMB
A_23_P11787	WNT4
A_23_P118174	PLK1
A_23_P118544	CLTC
A_23_P11859	HSD17B7
A_23_P119583	PDE4C
A_23_P119763	ABCG5
A_23_P120566	RRBP1
A_23_P121499	WFS1
A_23_P121596	PPBP
A_23_P122197	CCNB1
A_23_P122976	GNAI1
A_23_P123582	IPPK
A_23_P123596	GLDC
A_23_P123622	NPR2
A_23_P123905	EXOSC3
A_23_P124224	DHX8
A_23_P124417	BUB1
A_23_P124642	RASGRP1
A_23_P124742	CHKA
A_23_P125056	BAI1
A_23_P125164	FHIT
A_23_P125278	CXCL11
A_23_P125423	C1R
A_23_P125829	PGK1
A_23_P126313	SAC
A_23_P126899	PEX11B
A_23_P127233	SMNDC1
A_23_P127394	CRY2
A_23_P127662	OR8D1
A_23_P12784	FRAT2
A_23_P128094	ABCB9
A_23_P128147	TUBA1B
A_23_P128154	TUBA1C
A_23_P128230	NR4A1
A_23_P128281	KLRC3
A_23_P128319	ATP2B1
A_23_P128706	DYNC1H1
A_23_P129064	GATM
A_23_P1292	ERCC6
A_23_P129246	PLEKHQ1
A_23_P12965	FUT4
A_23_P129786	SREBF1
A_23_P130149	ENO3
A_23_P130266	LLGL1
A_23_P131383	FANCL
A_23_P131626	ASCC3L1
A_23_P13183	EXT2
A_23_P131846	SNAI1
A_23_P132526	PIK3R4
A_23_P133408	CSF2
A_23_P133606	SLC12A2
A_23_P133629	CDC23
A_23_P133656	LAMA4
A_23_P134100	ULBP3
A_23_P134484	CALCR
A_23_P134854	CLDN23
A_23_P135164	UAP1L1
A_23_P135548	DPYD
A_23_P136173	CSF2RA
A_23_P13713	PRPH
A_23_P137765	PAFAH2
A_23_P137896	OXCT2
A_23_P138000	SEMA6C
A_23_P138289	ITGA10
A_23_P138760	CLCF1
A_23_P138881	ACTN3
A_23_P139654	KLRC1
A_23_P13969	PXN
A_23_P139704	DUSP6
A_23_P139722	TNFRSF1A
A_23_P140450	SLC27A2
A_23_P140876	ABCA3
A_23_P140916	GLG1
A_23_P141362	FZD2
A_23_P141367	CCR10
A_23_P141636	EIF4A3
A_23_P14174	TNFSF13B
A_23_P142830	PLA2R1
A_23_P143143	ID2
A_23_P143559	CLTCL1
A_23_P143662	PISD
A_23_P144096	CISH
A_23_P144179	CPOX
A_23_P144476	SPRY1
A_23_P144778	CKMT2
A_23_P144980	PIK3R1
A_23_P145024	ADRB2
A_23_P14559	RIPK3
A_23_P145657	STAG3
A_23_P14612	FGF7
A_23_P146284	SQLE
A_23_P146339	GPT
A_23_P146361	POMT1
A_23_P146468	VAV2
A_23_P146539	IFNA8
A_23_P14769	FES
A_23_P148807	CDC7
A_23_P149390	CGN
A_23_P150018	DUSP5
A_23_P150053	ACTA2
A_23_P150857	SUOX
A_23_P150876	VPS37B
A_23_P151046	KLRC1
A_23_P152583	FLJ21865
A_23_P152838	CCL5
A_23_P153964	INHBB
A_23_P154037	AOX1
A_23_P154065	TUBA4A
A_23_P154070	TUBA4A
A_23_P154500	DNMT3A
A_23_P154539	PRPF6
A_23_P155335	PLD1
A_23_P155711	NEIL3
A_23_P15582	XYLT2
A_23_P156402	NME5
A_23_P156431	MAN1A1
A_23_P15654	TRAF4
A_23_P156953	IGF2R
A_23_P157333	EPHA1
A_23_P157449	POLR2K
A_23_P157865	TNC
A_23_P15829	TOP3A
A_23_P158897	BE531123
A_23_P159191	GAST
A_23_P159325	ANGPTL4
A_23_P159355	POLE
A_23_P159865	UPRT
A_23_P160177	ATP1A4
A_23_P160336	LEFTY1
A_23_P160729	AP4B1
A_23_P160787	PEX14
A_23_P160862	HNRPU
A_23_P160940	ABCA4
A_23_P160968	LAMC2
A_23_P161197	SEC61A2
A_23_P161552	ZNF289
A_23_P161615	POLA2
A_23_P161624	FOSL1
A_23_P161647	PC
A_23_P16225	BEST2
A_23_P16283	CPT1C
A_23_P163027	PARP2
A_23_P163079	GCH1
A_23_P163336	CA12
A_23_P163481	BUB1B
A_23_P164035	PSMC5
A_23_P164081	MYH10
A_23_P164341	VAMP2
A_23_P164536	PIK3C3
A_23_P165608	SEMA4F
A_23_P166306	CBS
A_23_P166408	OSM
A_23_P167389	CENTD3
A_23_P167920	DLL1
A_23_P16798	PFN4
A_23_P168080	SKIV2L
A_23_P168443	EPHB4
A_23_P168788	PLOD3
A_23_P169331	TRAF2
A_23_P1740	NCAM1
A_23_P18939	RASA1
A_23_P18966	P4HA2
A_23_P19517	ITPR3
A_23_P19673	SGK
A_23_P200126	MKNK1
A_23_P200710	PIK3C2B
A_23_P200792	NOTCH2
A_23_P200930	MTR
A_23_P200936	MTR
A_23_P200984	PTPRF
A_23_P201156	CADM3
A_23_P201264	NMNAT1
A_23_P201497	RASSF5
A_23_P201551	VAV3
