probe	gene
A_23_P100011	AP3S2
A_23_P100022	SV2B
A_23_P100111	CHP
A_23_P100278	GRIN2A
A_23_P100315	DECR2
A_23_P100341	ORC6L
A_23_P100344	ORC6L
A_23_P100392	TCEB2
A_23_P100408	NTN2L
A_23_P100413	EXOSC6
A_23_P100501	HMOX2
A_23_P100522	AK027211
A_23_P100539	ABCC6
A_23_P100556	EXOC7
A_23_P100576	PSMB3
A_23_P100583	LPO
A_23_P10062	MGAT4C
A_23_P100642	PNMT
A_23_P100704	MAPK7
A_23_P100754	SMURF2
A_23_P100788	STAT5B
A_23_P100795	STAT3
A_23_P100912	GIT1
A_23_P101073	OR1E1
A_23_P101141	RNF125
A_23_P101185	NARS
A_23_P10121	SFRP1
A_23_P10127	SFRP1
A_23_P101321	ARHGEF1
A_23_P101342	ATG4D
A_23_P101374	CYP2S1
A_23_P101407	C3
A_23_P101532	RPS11
A_23_P101551	BCAT2
A_23_P10156	CHMP6
A_23_P101564	FGF21
A_23_P101636	KIR3DL2
A_23_P101655	ACTN4
A_23_P101737	BC032803
A_23_P101759	FUT5
A_23_P101761	KISS1R
A_23_P101783	IL12RB1
A_23_P10182	ACOX2
A_23_P101829	EDG4
A_23_P101905	APC2
A_23_P101908	APC2
A_23_P101950	MDH1
A_23_P101992	MARCO
A_23_P102000	CXCR4
A_23_P102109	TUBA4A
A_23_P102113	WNT10A
A_23_P102117	WNT10A
A_23_P102122	ARPC2
A_23_P102192	MAP4K4
A_23_P102202	MSH6
A_23_P102235	SNRPG
A_23_P102286	LHCGR
A_23_P102364	NGEF
A_23_P102471	MSH2
A_23_P102481	CTLA4
A_23_P102517	PDE6D
A_23_P102842	NFS1
A_23_P102884	SYNJ1
A_23_P10291	CTSE
A_23_P102917	B3GALT5
A_23_P102919	B3GALT5
A_23_P102988	TXNRD2
A_23_P102994	PIK4CA
A_23_P10305	CTPS2
A_23_P103070	YWHAH
A_23_P103104	MFNG
A_23_P103149	ACO2
A_23_P103248	PIGM
A_23_P103328	PTGER3
A_23_P103361	LCK
A_23_P103371	ADC
A_23_P103398	PSEN2
A_23_P103465	PLA2G5
A_23_P103486	CYP2J2
A_23_P103503	MDM4
A_23_P103522	SELL
A_23_P103571	MAN1A2
A_23_P103588	HMGCS2
A_23_P103601	MAN1C1
A_23_P103720	AGMAT
A_23_P103765	FCER1A
A_23_P103795	VANGL1
A_23_P10391	COL5A2
A_23_P103919	B4GALT3
A_23_P103932	FGR
A_23_P103981	HIST2H2AA3
A_23_P103996	GCLM
A_23_P104046	BPNT1
A_23_P104116	RBM8A
A_23_P104193	ITGB1
A_23_P104199	ITGB1
A_23_P104237	GPAM
A_23_P104318	DDIT4
A_23_P104346	PIP5K2A
A_23_P104362	ECHS1
A_23_P104445	PIK3AP1
